Altium Designer Pick and Place Locations
C:\Projects\umdkv2-github\umdkv2\umdk-onepcb\.\Generate Files\Pick Place\Pick Place for UMDK.txt

========================================================================================================================
File Design Information:

Date:       21/06/25
Time:       15:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Ref-X(mm)  Ref-Y(mm)  Layer    Rotation Footprint          "Footprint Description"                                              Value Manufacturer             "Manufacturer Part Number" 
C3         -53.5000mm -16.2500mm TopLayer 0        C-0603             "Chip Capacitor 0603"                                                4.7uF Kemet                    C0603C475K9PAC7867         
C5         -53.5000mm -13.7500mm TopLayer 0        C-0603             "Chip Capacitor 0603"                                                4.7uF Kemet                    C0603C475K9PAC7867         
J2         -51.9000mm 8.0000mm   TopLayer 180      5027740891         "Molex MicroSD Card Socket"                                          ""    Molex                    5027740891                 
D2         -51.0000mm -7.0000mm  TopLayer 90       D-SMA              DO-214-AC/SMA                                                        ""    "ST Microelectronics"    STPS2L30A                  
U9         -50.0000mm 1.5000mm   TopLayer 0        MICT-MN-8_N        "SOIC, 8-Leads, Body 5x4mm, Pitch 1.27mm, IPC Medium Density"        ""    Micron                   M25P40-VMN6P               
L2         -50.0000mm -20.0000mm TopLayer 270      I-1212             "SMD Inductor 1212"                                                  3.3uH "Wuerth Elektronik"      74438336033                
C11        -50.0000mm -25.2500mm TopLayer 90       C-1210             "Chip Capacitor 1210"                                                100uF Kemet                    C1210C107M9PAC7800         
L3         -50.0000mm -15.0000mm TopLayer 270      I-1212             "SMD Inductor 1212"                                                  3.3uH "Wuerth Elektronik"      74438336033                
C58        -49.2500mm 5.0000mm   TopLayer 0        C-0402             "Chip Capacitor 0402"                                                1uF   Kemet                    C0402C105K9PAC7867         
R3         -48.0000mm -23.2500mm TopLayer 270      R-0402             "SMD Resistor 0402"                                                  3.3k  Vishay                   CRCW04023K30FKEDC          
R4         -47.0000mm -23.2500mm TopLayer 270      R-0402             "SMD Resistor 0402"                                                  3.3k  Vishay                   CRCW04023K30FKEDC          
R12        -45.2680mm 1.5000mm   TopLayer 90       R-0402             "SMD Resistor 0402"                                                  3.3k  Vishay                   CRCW04023K30FKEDC          
C7         -45.0000mm -23.2500mm TopLayer 180      C-0603             "Chip Capacitor 0603"                                                4.7uF Kemet                    C0603C475K9PAC7867         
C4         -45.0000mm -14.0000mm TopLayer 0        C-1210             "Chip Capacitor 1210"                                                100uF Kemet                    C1210C107M9PAC7800         
C6         -45.0000mm -26.0000mm TopLayer 0        C-1210             "Chip Capacitor 1210"                                                100uF Kemet                    C1210C107M9PAC7800         
C8         -45.0000mm -16.7500mm TopLayer 180      C-0603             "Chip Capacitor 0603"                                                4.7uF Kemet                    C0603C475K9PAC7867         
U1         -45.0000mm -20.0000mm TopLayer 0        10SON              ""                                                                   ""    "Richtek USA Inc."       RT8035GQW                  
